epoch;x;y;z
25905697;256022;-14320;16516
25908776;253952;-15327;9728
25911984;256000;-16111;5120
25914937;254849;-15448;18608
25918208;253986;-15352;4196
25921416;255753;-16112;10326
25923585;255752;-16128;16644
25927696;255016;-15484;6424
25930752;254530;-15836;16769
25933989;254096;-16251;16936
25936940;254464;-16382;6152
25940274;253984;-15710;3156
25943353;256000;-15964;17088
25946112;256669;-15358;1616
25949705;254732;-15853;4742
25952785;254784;-15322;19536
25955992;254080;-14250;6593
25958913;254547;-16255;8736
25962273;256522;-15312;18816
25965344;256512;-15231;6226
25968565;254979;-16344;20548
25970748;254016;-15266;16736
25974788;255296;-16309;16455
25977993;254085;-16316;1032
25980944;254484;-16308;17568
25984280;254998;-14316;16421
25987361;254544;-14814;16972
25990568;254184;-14287;16987
25993264;253984;-16367;1030
25996849;255626;-15199;256
25999936;254496;-14078;16705
26002944;256032;-14164;17544
26006285;253952;-15596;19552
26009364;254112;-16254;2054
26012572;254226;-15856;8832
26013729;254220;-15350;16386
26018856;256052;-14330;2152
26021936;255000;-15552;21124
26025145;256068;-15071;16385
26028288;254248;-15230;6912
26031362;254994;-14968;2262
26034561;253985;-15104;8257
26037264;254724;-15551;20098
26040861;254480;-15356;16
26043941;254993;-16272;16872
26047148;254312;-16383;0
26050097;254880;-16373;19457
26053433;254485;-15328;8228
26056576;255234;-16368;568
26058761;253952;-14582;18704
26062865;256140;-16380;17161
26065944;254144;-15344;16400
26069121;256544;-14336;521
26072096;255833;-15894;10757
26075424;253984;-14288;16452
26078517;256794;-15592;1028
26081724;255110;-16380;20656
26084868;254992;-15360;274
26087945;247324;-16384;16785
26091152;255616;-15356;298
26094104;254464;-16384;16526
26097441;254465;-15871;19968
26100520;254290;-14336;40
26103728;248578;-16349;17426
26105905;254080;-14205;128
26109952;253960;-15328;17443
26113152;258067;-13824;32
26116109;254077;-15854;17408
26119444;249752;-14333;16384
26122522;256942;-15317;384
26125729;255424;-16316;22572
26128424;254208;-15295;10243
26132017;255488;-16128;20745
26135097;255488;-16379;16898
26138112;256041;-15694;434
26141441;254520;-13946;21536
26144513;254016;-14844;12800
26147728;255297;-14784;23041
26148893;256552;-16384;2944
26154021;256000;-14032;16386
26157100;253969;-14448;17643
26160305;258244;-15802;2177
26163256;254001;-16120;22532
26166528;253952;-14336;8793
26169737;245844;-13110;21057
26172432;257783;-15216;4224
26176024;256516;-15832;19018
26179073;254740;-16304;5408
26182304;254336;-14255;10512
26185248;252432;-14336;25132
26188597;254984;-13980;9222
26191676;248850;-15868;20938
26193924;253991;-16249;16412
26198025;256174;-16320;17184
26201104;247974;-16348;22016
26204312;256801;-15988;4737
26207265;255232;-14193;16431
26210600;254016;-15104;17026
26213666;254088;-15760;17040
26216881;253952;-16121;2632
26219584;254854;-16371;17596
26223109;255337;-16312;16384
26226317;254144;-16080;2584
26229268;254592;-14254;17936
26232601;249224;-15472;65
26235681;254089;-16039;7203
26238888;255248;-15868;20608
26241073;257041;-15844;2080
26245177;255564;-14314;22808
26248320;255109;-15630;528
26251265;253980;-14028;19458
26254592;256392;-16180;4116
26257680;254032;-15712;512
26260893;254482;-16384;24928
26263588;253960;-14328;12808
26267180;246145;-16192;20517
26270257;256528;-13402;386
26273464;256025;-16256;18480
26276608;256000;-14330;18696
26279689;253954;-32219;12320
26282896;254084;-16384;17954
26284056;257036;-15870;20
26289153;253984;-16384;16785
26292256;256096;-15269;0
26295456;254600;-16320;17216
26298421;253985;-13856;18745
26301756;254474;-15360;12296
26304898;254117;-16368;16544
26307593;258313;-15841;17
26311184;254494;-14192;17888
26314265;256002;-16246;4608
26317473;256808;-15744;9250
26320424;254745;-16369;19490
26323745;255008;-14268;1026
26326833;254480;-14960;17159
26329088;257026;-16312;8224
26333189;256064;-14236;1552
26336269;254216;-15736;16530
26339476;256004;-16091;1540
26342425;247617;-16128;18568
26345760;254336;-14200;128
26348840;254467;-13550;16480
26352049;254048;-16361;90
26354744;254528;-15340;2194
26358272;254598;-13823;17544
26361473;254986;-16286;20097
26364416;254472;-14414;18822
26367760;256776;-15356;8708
26370845;253984;-13758;16944
26374052;254856;-14078;22800
26376236;256129;-15274;524
26380337;253954;-16318;18472
26383416;254004;-16380;264
26386432;254408;-16316;16769
26389769;253968;-15985;4289
26392848;254732;-16336;3
26396050;254088;-16383;16834
26398721;254608;-14335;16390
26402336;254088;-15226;19456
26405408;257153;-16384;10752
26408629;254944;-16382;8192
26411580;255104;-14061;16386
26414849;254208;-14816;17664
26418057;253976;-16362;16452
26419216;253984;-15520;2305
26424345;254594;-16380;16440
26427425;254720;-14316;514
26430632;254024;-16378;4100
26433569;255747;-13736;17964
26436912;253956;-15822;11052
26440000;254976;-15285;18240
26442757;256260;-14302;13578
26446348;255744;-15349;4368
26449428;256272;-14328;16576
26452633;256008;-14231;15481
26455584;254209;-16384;2729
26458920;256072;-15871;32
26462001;256001;-13552;20563
26465208;254240;-14640;4288
26468352;256398;-15168;16604
26471425;254788;-15352;17504
26474624;254610;-14272;8704
26477584;250593;-15807;8192
26480925;254529;-15184;1608
26484004;255760;-15872;16489
26487210;257093;-16184;17440
26489905;254152;-16109;16454
26493496;254210;-32156;10262
26496640;253952;-16128;7692
26499593;254468;-14066;16418
26502928;253990;-16366;20525
26506001;255051;-15103;2054
26509185;256032;-15996;12481
26511392;254208;-14714;8209
26515501;254380;-14299;12290
26518581;253993;-15360;5120
26521788;254554;-16384;4117
26524929;256072;-13806;16530
26528008;255238;-14336;18438
26531216;254156;-15614;3100
26533913;254544;-16384;4098
26537504;254214;-14074;4520
26540584;254464;-16382;18192
26543777;256640;-16368;12291
26546736;253956;-14336;6144
26550016;255304;-14104;17540
26553221;251872;-15850;8324
26554380;253971;-14832;2836
26559508;256256;-15038;2304
26562585;255046;-14047;20482
26565792;256530;-14101;4241
26568744;254176;-15822;16407
26572081;254020;-14285;2402
26575160;254769;-16367;8339
26577922;253953;-16312;6752
26581505;256202;-16376;706
26584576;256073;-14080;16384
26587792;256872;-14336;17153
26590749;253965;-14004;4360
26594084;255172;-14320;8297
26597161;254472;-14316;2560
26600369;253984;-13824;16898
26599480;255156;-14840;2180
26606593;256064;-15603;18434
26609801;253952;-14204;130
26612752;255056;-14075;16849
26616081;254208;-14336;17032
26619136;253957;-14325;68
26622368;247336;-14079;21057
26625069;258118;-14269;0
26628660;246913;-14333;16654
26631740;253960;-14208;288
26634753;249156;-16044;9
26638088;246848;-13824;10753
26641168;249860;-14268;352
26644377;254530;-16374;21298
26646560;257536;-16384;8219
26650664;253960;-15872;128
26653729;254995;-13810;4107
26656944;254448;-31607;5153
26659904;247042;-14360;19465
26663173;3;-31744;16402
26666380;1096;-30592;820
26669074;254146;-15224;18624
26672665;256049;-14932;1792
26675744;245952;-15615;8224
26678952;254976;-16352;1304
26681905;36;-16364;16664
26685240;258562;-31360;9222
26688321;245771;-15832;4234
26689537;247942;-16382;17504
26694656;253985;-16253;13376
26697749;254208;-14336;24
26700957;253956;-14992;43
26703908;245856;-13280;260
26707241;248909;-13952;196
26710320;246817;-14592;96
26713528;2055;-15536;17698
26716673;256008;-13680;72
26719752;247346;-14845;6232
26722960;248960;-14304;8394
26725905;245804;-14550;18
26729216;424;-14271;194
26732320;144;-16352;17152
26735533;254154;-15924;9025
26214452;253992;-16256;7172
26741820;255328;-14319;17424
26744961;1607;-32632;10
26747912;256037;-30695;13441
26751248;254031;-16376;16404
26754329;254220;-14304;1691
26757536;245857;-14954;16464
26760226;253952;-16247;10883
26763809;254132;-15291;17203
26766896;248601;-32636;6761
26769920;246848;-31182;1797
26773253;245836;-15862;16393
26776332;256032;-16352;4100
26779537;255192;-16380;20503
26781721;256016;-15340;14336
26785824;254290;-14238;19840
26788905;253956;-16232;17088
26792113;254016;-13776;21090
26795064;253955;-13515;16643
26798337;256064;-16255;8704
26801536;255360;-14208;19016
26804224;253986;-13888;2257
26807829;254016;-13164;4168
26810908;254120;-16128;13416
26814116;253960;-15736;17152
26817065;248336;-13312;21984
26820400;257665;-14808;129
26823480;254272;-15802;16641
26824705;255152;-15293;16433
26829832;255745;-16349;20753
26832912;253966;-16352;16388
26836113;254113;-15708;12546
26839040;247849;-15104;21330
26842400;256066;-15072;13344
26845485;254994;-16120;17415
26848692;254785;-15976;3208
26851386;255378;-15144;3840
26854913;254208;-15481;8263
26858120;254226;-14256;13352
26861072;254496;-15487;17458
26864409;258048;-15296;13454
26867488;254000;-14259;21696
26870689;254090;-15198;1536
26869793;255232;-15551;4097
26876976;254732;-14192;21000
26880061;256070;-14320;8
26883077;256132;-14200;20818
26886412;256075;-14696;3088
26889489;254544;-14399;4100
26892696;254120;-16192;16576
26895392;255010;-14332;4416
26898985;254209;-16340;4617
26902064;254729;-14848;16386
26905272;253986;-13312;8384
26908225;254720;-16064;6150
26911488;255018;-16376;3089
26914688;253952;-16384;16464
26916885;254372;-14074;3145
26920988;254729;-14800;17561
26924068;257296;-16383;12992
26927273;254728;-15790;8192
26930224;255120;-15200;7692
