epoch;x;y;z
974323084;240;-483;255457
974328242;388;-184;255114
974333369;338;-394;255109
974338526;365;-496;254927
974343684;327;-618;255409
974348841;308;-590;255341
974353998;124;-584;255248
974359156;30;-513;255039
974364283;446;-441;255674
974369440;214;-504;255098
974374598;392;-477;255200
974379755;393;-504;255535
974384913;247;-421;255333
974390070;91;-312;255419
974395197;418;-341;254972
974400355;372;-486;255434
974405512;187;-736;255211
974410670;137;-385;255517
974415827;524;-639;255169
974420985;142;-647;255018
974426142;375;-633;255331
974431299;194;-593;255270
974436457;298;-400;255450
974441614;276;-484;255179
974446772;335;-178;255342
974451899;154;-587;255645
974457056;221;-425;255188
974462214;222;-319;255511
974467371;238;-601;255319
974472529;373;-440;255354
974477686;92;-502;255485
974482813;271;-460;255340
974487971;400;-470;255255
974493128;437;-674;255398
974498286;187;-461;255545
974503443;504;-448;255388
974508570;291;-486;255229
974513727;155;-393;255526
974518885;196;-379;255354
974524042;132;-438;255214
974529200;266;-530;255150
974534357;205;-514;255494
974539515;209;-469;255285
974544672;513;-525;255551
974549830;226;-507;255633
974554987;91;-587;255399
974560114;313;-357;255291
974565272;79;-648;255288
974570399;186;-537;255261
974575556;164;-615;255417
974580714;155;-522;255330
974585871;257;-502;255340
974591028;284;-464;254967
974596186;370;-341;255414
974601343;240;-443;255235
974606501;284;-554;255101
974611658;250;-529;255301
974616816;284;-665;255489
974621973;306;-642;255171
974627131;146;-549;255493
974632288;162;-595;255206
974637446;217;-564;255601
974642603;269;-410;255230
974647761;115;-484;255596
974652918;276;-544;255332
974658076;187;-423;255537
974663233;131;-657;255390
974668391;362;-683;255640
974673548;184;-110;254979
974678675;201;-333;255054
974683832;-11;-560;254986
974688959;136;-519;255180
974694117;-2;-438;255123
974699244;196;-541;255367
974704401;189;-701;255580
974709559;316;-834;255577
974714716;171;-520;255539
974719874;136;-547;255683
974725031;433;-297;255192
974730189;436;-339;255215
974735346;183;-601;255367
974740504;96;-515;254981
974745631;415;-789;255252
974750788;533;-781;255657
974755945;60;-66;255798
974761072;30;-834;254675
974766199;219;-632;254331
974771357;-160;-753;253798
974776484;32;-606;254538
974781611;17;-344;254274
974786738;-310;-101;255724
974791865;393;-114;255708
974796992;-92;-916;255085
974802149;342;-679;255745
974807307;966;-88;256776
974812434;-357;-194;254448
974817560;100;-697;256345
974822687;226;-663;256467
974827845;359;146;255803
974833002;-352;-1091;253973
974838160;596;-637;256756
974843317;770;46;255547
974848444;193;-223;255400
974853571;166;-885;254386
974858729;-781;-989;253109
974863856;-984;-481;255808
974868983;423;-1194;255949
974874140;-370;-1186;254797
974879298;-188;-1371;253848
974884424;66;-472;254903
974889551;-129;-93;254743
974894678;-251;-618;255800
974899805;-192;-396;255380
974904932;745;23;256561
974910059;688;-1559;254504
974915186;-340;111;254311
974920313;-621;-196;255566
974925440;440;-641;254628
974930598;271;-16;255948
974935725;-494;112;255416
974940851;434;-714;256055
974946009;943;582;256622
974951136;305;-426;255790
974956293;496;-516;256384
974961420;790;-259;255466
974966547;330;-468;255892
974971705;265;-588;255351
974976862;263;-473;255308
974982020;528;-660;255329
974987177;279;-80;255772
974992304;81;-597;255431
974997431;313;-495;255387
975002589;441;-407;255324
975007746;213;-438;255518
975012903;183;-378;255378
975018061;337;-448;255384
975023218;389;-430;255205
975028376;563;-454;255476
975033533;50;-456;255516
975038660;464;-427;255417
975043818;133;-274;255339
975048975;189;-265;255125
975054133;309;-471;255567
975059290;-119;-454;255134
975064448;294;-786;255307
975069605;416;-338;255054
975074763;86;-429;255305
975079890;318;-522;255530
975085047;360;-33;255584
975090174;326;-601;255096
975095331;168;-219;255213
975100458;256;-650;255096
975105616;47;-262;255277
975110743;361;-866;254858
975115900;549;-333;255726
975121058;91;-354;255419
975126185;198;-918;254956
975131342;286;-126;255913
975136469;348;-913;254638
975141627;366;184;256361
975146754;150;-623;255106
975151911;365;-184;256237
975157038;89;168;255799
975162165;316;-914;254388
975167322;-114;-20;255885
975172449;181;-884;254593
975177607;-154;25;255796
975182734;352;-859;255013
975187891;-60;4;256135
975193018;531;-719;255581
975198176;304;-123;256425
975203303;797;-765;255643
975208430;-29;-337;255096
975213557;127;-351;256023
975218714;298;-580;255298
975223871;610;-550;255992
975229029;326;-665;254887
975234186;137;-256;255551
975239344;413;-468;254606
975244501;182;59;255447
975249659;272;-443;254539
975254816;263;-472;255528
975259974;168;-633;254538
975265131;216;-348;255556
975270289;77;-942;254623
975275416;435;-710;254107
975280573;30;-432;255920
975285700;194;-755;254726
975290858;320;-453;255373
975296015;124;-671;255137
975301173;328;-255;254810
975306330;339;-467;255468
975311487;195;-490;255356
975316645;359;-330;254910
975321802;63;-537;255434
975326929;108;-307;255603
975332087;366;-103;255049
975337214;23;-751;255662
975342341;357;-649;255312
975347498;172;-614;255070
975352656;171;-503;255607
975357783;271;-369;255350
975362940;268;-507;255004
975368098;181;-558;255449
975373255;137;-347;255192
975378413;344;-445;255456
975383570;154;-391;255382
975388727;335;-382;255287
975393885;302;-442;255390
975399042;29;-670;255048
975404169;207;-637;255268
975409327;2;-386;255016
975414454;282;-684;255297
975419611;229;-560;255355
975424769;461;-514;255258
975429926;447;-205;255424
975435053;247;-505;255271
975440211;358;-592;255096
975445368;187;-326;255508
975450526;129;-407;255585
975455683;92;-606;255282
975460810;237;-233;255196
975465937;228;-354;255157
975471094;262;-425;255207
975476252;106;-792;255481
975481409;181;-560;255353
975486567;307;-530;255412
975491724;307;-532;255385
975496882;239;-404;255040
975502039;286;-322;255274
975507197;382;-553;255390
975512354;469;-522;255530
975517512;231;-501;255387
975522669;221;-317;255220
975527827;367;-255;255363
975532984;365;-598;255168
975538142;64;-390;255348
975543268;155;-873;255188
975548426;199;-583;255295
975553583;376;-428;255528
975558741;217;-512;255267
975563898;212;-615;255353
975569056;412;-441;255130
975574213;113;-427;255208
975579371;297;-340;255449
975584528;340;-457;255169
975589686;428;-345;254983
975594843;140;-504;255290
975600001;299;-287;255390
975605158;239;-525;255255
975610316;330;-394;255287
975615473;150;-614;255558
975620631;409;-542;255378
975625788;168;-719;255215
975630945;269;-560;255438
975636103;405;-550;255058
975641260;208;-523;255315
975646418;22;-472;255393
975651545;211;-498;255157
975656702;264;-394;255039
975661860;192;-462;255206
975667017;85;-511;255620
975672144;228;-524;255105
975677302;155;-659;255393
975682459;237;-530;255571
975687617;58;-654;254829
975692744;221;-728;255519
975697901;83;-481;255322
975703028;55;-630;255332
975708155;280;-643;255265
975713312;230;-516;255481
975718470;78;-126;255344
975723597;230;-359;254908
975728754;243;-231;255250
975733881;322;-492;255077
975739039;353;-453;255373
975744196;419;-389;255266
975749354;117;-561;255085
975754511;171;-420;255422
975759669;340;-555;255226
975764826;-66;-624;255363
975769984;142;-709;255399
975775141;299;-650;255279
975780299;225;-707;255328
975785456;34;-521;255443
975790583;353;-529;255437
975795740;303;-468;255228
975800898;246;-340;255322
975806055;202;-633;255294
975811213;301;-376;255465
975816370;276;-339;255354
975821528;196;-495;255115
975826685;-69;-551;255394
975831843;80;-613;255535
975836970;330;-626;255416
975842127;45;-510;255607
975847254;263;-626;255413
975852412;455;-584;255152
