epoch;x;y;z
974311792;11262;-3810;257866
974316950;11296;-3829;257582
974322107;11444;-3951;257806
974327264;11430;-3839;257778
974332422;11427;-3656;257601
974337579;11414;-3856;258018
974342737;11371;-3948;257790
974347894;11379;-3728;257949
974353052;11296;-3783;257803
974358209;11390;-3829;257968
974363367;11102;-3572;257599
974368524;11220;-3774;257726
974373682;11490;-3730;257677
974378839;11421;-3549;257967
974383997;11345;-3859;257532
974389154;11428;-3582;257654
974394312;11327;-3884;257833
974399469;11426;-3859;257880
974404627;11262;-3669;257730
974409784;11086;-3894;257678
974414941;11251;-3902;257812
974420099;11270;-3754;257643
974425256;11157;-3839;257900
974430414;11160;-4066;257608
974435541;11509;-3874;258242
974440698;11331;-3853;257969
974445856;11360;-3579;257367
974451013;11133;-3698;257688
974456171;11314;-3808;257537
974461328;11265;-3689;257594
974466486;11088;-3818;257766
974471643;11252;-3762;257738
974476801;11338;-3836;257598
974481958;11355;-3870;258012
974487116;11441;-3694;257790
974492273;11280;-3744;257830
974497430;11335;-3719;257572
974502588;11336;-3722;257580
974507745;11394;-3643;257502
974512903;11125;-3732;257952
974518060;11264;-3839;257621
974523218;11358;-3672;257609
974528375;11255;-3831;257658
974533533;11539;-3568;257804
974538690;11278;-3688;257662
974543848;11387;-3917;257451
974549005;11324;-3928;257585
974554163;11270;-3865;257853
974559290;11336;-3762;258077
974564447;11371;-3948;257848
974569605;11241;-3861;257634
974574762;11364;-3838;257925
974579919;11066;-3708;257771
974585077;11282;-3733;257781
974590234;11191;-3592;257617
974595392;11373;-3629;257708
974600549;11253;-3658;257643
974605707;11278;-3670;257791
974610864;11284;-3600;257764
974616022;11295;-3753;257736
974621179;11169;-3775;257838
974626337;11220;-3852;257787
974631494;11136;-3825;257626
974636652;11443;-3750;257636
974641809;11400;-3720;257610
974646967;11287;-3905;257847
974652124;11387;-3518;257786
974657282;11116;-3870;257844
974662439;11289;-3665;257832
974667596;11502;-3814;257438
974672754;11439;-3720;257458
974677911;11302;-3699;257639
974683069;11287;-3688;257756
974688226;11425;-3855;257474
974693384;11400;-3906;257760
974698541;11286;-3883;257986
974703699;11131;-3918;257652
974708856;11289;-4107;257947
974714014;11244;-3865;258328
974719141;11163;-3882;257757
974724298;11358;-3597;257518
974729456;11491;-3569;257728
974734613;11538;-3584;257433
974739771;11294;-3521;257477
974744928;11545;-3579;257539
974750085;11415;-3635;257442
974755243;11262;-3834;258043
974760400;11448;-3726;257839
974765558;11354;-3816;257760
974770715;11353;-3890;257326
974775873;11270;-3705;257228
974781030;11135;-3753;257286
974786188;11403;-3662;257330
974791345;11481;-3673;257513
974796503;11357;-3821;257739
974801660;11318;-3708;257974
974806818;11126;-3539;258001
974811945;11328;-3755;257810
974817102;11327;-3762;257449
974822260;11194;-3716;258064
974827417;11021;-3739;257861
974832575;11262;-3586;257851
974837732;11268;-3914;257241
974842889;11318;-3673;257742
974848047;11076;-3815;257786
974853204;11152;-3844;257677
974858362;11331;-3652;257878
974863519;11225;-3681;257817
974868677;11235;-3653;257409
974873834;11215;-3776;257141
974878992;11400;-3930;257654
974884149;11416;-3537;258184
974889307;11361;-3602;257962
974894464;11424;-3828;258014
974899622;11329;-3919;258413
974904779;11553;-4092;257971
974909937;11333;-3674;257087
974915094;11467;-3458;257860
974920252;11134;-3852;257781
974925409;11228;-3711;258182
974930566;11305;-3486;257679
974935693;11356;-3566;257850
974940851;11375;-3804;257567
974946008;11553;-3408;256923
974951166;11314;-3796;257853
974956323;11369;-3784;257908
974961481;11325;-3580;257103
974966638;11187;-3729;258140
974971796;11328;-3763;257666
974976953;11143;-3811;257994
974982111;11260;-3860;258075
974987268;11111;-3750;257825
974992426;11337;-3710;257380
974997583;11027;-3798;258072
975002741;11221;-3868;257663
975007898;11393;-3598;257612
975013055;11396;-3395;257622
975018213;11268;-3649;257626
975023370;11117;-3626;258086
975028528;11316;-3908;257812
975033685;11212;-3785;257592
975038843;11612;-3699;257537
975044000;11204;-3587;258030
975049158;11538;-3800;258126
975054315;11555;-3900;257546
975059473;11076;-3838;257875
975064630;11370;-3905;258040
975069788;11185;-3748;257415
975074915;11160;-3667;257936
975080072;11558;-3596;257861
975085230;11316;-3626;258028
975090387;11302;-3801;257468
975095544;11050;-3663;258017
975100702;11314;-3756;257114
975105859;11237;-3724;258282
975111017;11074;-3746;257065
975116174;11269;-3734;257827
975121332;11145;-3887;257595
975126459;11208;-3742;257987
975131616;11204;-3786;257759
975136774;11318;-3534;257293
975141931;11175;-3918;258098
975147089;11319;-3711;257421
975152246;11424;-3938;257870
975157404;11243;-3684;258006
975162561;11500;-3309;257014
975167719;11243;-3576;258112
975172876;11405;-3856;257556
975178033;11053;-3932;258118
975183191;11221;-3673;258006
975188348;11162;-3621;257660
975193506;11115;-3842;257535
975198663;11277;-4043;258236
975203821;11410;-3999;257658
975208978;11131;-3526;257895
975214136;11297;-3664;257069
975219293;11377;-3770;258429
975224451;11340;-3783;257607
975229608;11544;-3768;257996
