epoch;x;y;z
3551148056;250976;22122;-28544
3551133728;247320;20491;-31678
3551138052;251108;21019;-30333
3551141896;249860;21552;-63154
3551145025;250882;20616;-26109
3551148053;250208;23040;-28664
3551134745;252560;21506;-36032
3551138049;250880;21250;-29696
3551141377;250880;21588;-26394
3551144524;249890;20768;-32736
3551146000;252092;21126;-65442
3551166488;249888;22528;-32763
3551166720;249856;20673;-30974
3551173636;250113;21805;-63408
3551176776;250671;20528;-65024
3551179778;249868;21776;-24248
3551199253;246784;20481;-30591
3551202457;251392;22024;-31744
3551205889;249926;22582;-39934
3551209025;250177;21521;-31644
3551211533;251172;22531;-59514
3551264784;251922;18432;-65482
3551266968;250755;21505;-32191
3551269216;250412;21952;-28382
3551274052;251926;22682;-31610
3551277064;251076;21572;-30464
3551280130;250112;20545;-32512
3551266960;249928;21796;-32736
3551270233;252416;22614;-31744
3551273537;251952;20514;-64576
3551272961;250922;21144;-26336
3551279117;249866;20502;-32510
3551299760;251904;21514;-65484
3551303002;251393;20545;-28672
3551305792;251041;21636;-27502
3551309314;250448;20996;-32447
3551312384;250146;21504;-65208
3551528594;251352;20864;-28156
3551531864;249865;20484;-32740
3551526944;251082;22532;-29340
3551538176;250372;21760;-35997
3551541256;251648;20485;-28160
3551528068;249992;22657;-28159
3551531345;251904;22468;-65016
3551534107;251144;20496;-30368
3551537664;250816;22592;-28528
3551540738;251040;22592;-27116
3551527552;250000;22400;-62932
3551530834;250962;20737;-65277
3551533080;251330;20480;-28598
3551537154;250126;21408;-30718
3551540224;251715;21452;-34367
3551559816;250765;20496;-32512
3551563076;250132;20578;-25790
3551565841;249922;20582;-32504
3551569435;250731;20677;-29303
3551572481;250945;21760;-32240
3551575682;250627;20480;-26608
3551595328;250368;20480;-32703
3551596562;251937;21041;-64510
3551601688;249968;20561;-31482
3551604770;251049;20724;-31822
3551607936;250370;20748;-33962
3551529288;251012;20617;-32240
3551532036;251315;21592;-31552
3551535632;251200;20484;-31483
3551538715;250373;20484;-62160
3551541889;249856;21532;-32732
3551528770;249905;22276;-26480
3551531008;249924;20928;-32762
3551535122;250378;23045;-32239
3551538200;250384;20571;-61853
3551541378;250958;21712;-28346
3551561024;250417;21552;-63232
3551563784;252195;20610;-32220
3551567364;250754;20481;-31678
3551570448;251334;20773;-28128
3551573632;251010;20496;-30064
3551658817;252005;18999;-62368
3551657987;249976;22817;-31744
3551665152;250120;22696;-32088
3551668242;249946;21124;-65520
3551671384;251969;22562;-32656
3551658274;250049;20736;-27639
3551661056;250112;20595;-63612
3551664650;250164;20896;-32382
3551667716;249874;22023;-31438
3551670864;250432;21638;-27824
3551674144;249938;20522;-65516
3551660033;250308;20512;-32244
3551664131;249992;21410;-32671
3551667201;250120;20994;-31598
3551670354;250373;21824;-63164
3551673624;249984;22088;-61439
3551692802;249860;21048;-31982
3551696384;249921;21008;-32576
3551699466;250020;21505;-62240
3551702596;250508;21512;-32512
3551705872;249922;20744;-32736
3551723520;250369;21120;-62956
3551728640;249872;21538;-61309
3551731715;250016;21568;-56808
3551734849;249952;20744;-26080
3551738130;250245;20544;-61424
3489661976;250448;20692;-60384
3489665186;249862;21598;-31334
3489668608;250176;20800;-30590
3489671754;251237;22528;-32508
3489675024;249920;21024;-31743
3489660944;251986;23160;-32052
3489661088;250176;22016;-31679
3489668096;250904;20740;-29376
3489671236;250280;20788;-58480
3489674497;250249;20753;-31897
3489693715;250020;21130;-30617
3489696920;249958;22552;-34352
3489700354;250944;21394;-31736
3489703488;247354;21504;-30464
3489706762;250957;20482;-58876
3489660944;250448;20636;-28664
3489663122;250196;20545;-30334
3489667072;246785;21504;-60224
3489670208;251915;22080;-28664
3489673476;251904;20482;-61292
3489676289;250120;22569;-32766
3489663123;250128;20738;-32504
