epoch;x;y;z
25904657;249897;21512;-32502
25690656;250148;22529;-65516
25691840;250282;22016;-31616
25694219;250160;20609;-32607
25700434;252352;22597;-32192
25690266;249984;20566;-27575
25690369;251427;22784;-32640
25691144;250131;20553;-27571
25694224;249874;20480;-64184
25699475;250504;20628;-31742
25706530;250131;20584;-31608
25711680;251912;22736;-65406
25723009;251012;20790;-31170
25724112;250192;22018;-64832
25731612;250500;20504;-32320
25953795;249920;20496;-65502
25957002;252562;21832;-31775
25954321;249856;22450;-32063
25952281;249921;20518;-61440
25960576;250627;21121;-28480
25968835;251024;22530;-65535
25972739;252211;22144;-30664
25953362;247365;20755;-32512
25952385;249861;22615;-31611
25957376;250544;20480;-28590
25952256;250999;22833;-64448
25953299;249859;20644;-25168
25952410;250368;22608;-35742
25953794;252202;21776;-31225
25956937;250112;20484;-32760
25962128;250724;22912;-32252
25969368;249880;20914;-32727
25985027;251268;22544;-64446
25985026;251180;21512;-32184
25987202;249856;21241;-32751
25993489;252355;20921;-64783
26017824;249933;22529;-30156
26023044;251904;22816;-65264
26017995;251146;20688;-28030
26018834;249856;20608;-32240
26026072;250978;22170;-32288
26035329;250888;20608;-32558
26038536;252680;22532;-29115
25953808;249862;20492;-24448
25952787;247952;22849;-36608
25958050;249857;20672;-31470
25952257;247817;21120;-65171
25954369;249872;20871;-32747
25952400;249856;20608;-60892
25952475;252480;21072;-65535
25957379;250960;21504;-32766
25968650;249873;22034;-33755
25969809;250256;20636;-28664
25985048;250121;20480;-65237
25986112;251920;20484;-32600
25989251;250504;20496;-28638
25994434;251921;22763;-65511
26083858;251078;21381;-30966
26088961;252037;22536;-64886
26083968;251072;21506;-32538
26085376;246818;20992;-64480
26091539;246020;22845;-28558
26099738;246785;21182;-32239
26104002;249888;23045;-63348
26083337;249920;20513;-31660
26084432;249857;20520;-65344
26091672;250752;20640;-29116
26084355;250711;20998;-30840
26087426;250065;22568;-60280
26084352;249860;20624;-30943
26083473;248833;22546;-32053
26088736;249956;20512;-29420
26100292;252048;20992;-62443
26101387;245789;22784;-32760
26116818;246048;22676;-31678
26116121;247924;21794;-63739
26120193;250000;22692;-32256
26126472;245862;20736;-32696
26149123;250437;20485;-32492
26148883;247648;21840;-61391
26149922;249986;21545;-60918
26153153;250177;22528;-59259
26158080;251936;20483;-27263
26165328;246786;20736;-30200
26170523;246796;20512;-31674
25166082;249988;20494;-28624
25167370;249884;20992;-62454
25174545;252169;20520;-65024
25167512;246016;21200;-32501
25169920;250112;22784;-61439
25167939;246032;22181;-28654
25165954;248352;20561;-31743
25174226;246304;20736;-55230
25183233;245776;22592;-55248
25186304;252456;21026;-32634
25199744;245787;20736;-31667
25198611;248019;21098;-30524
25203738;251008;20548;-61280
26214656;252042;20482;-65280
26215752;250882;20480;-32728
26214928;249926;22696;-31615
26216016;249092;21782;-64966
26218526;250436;21760;-32703
26224742;251043;20546;-63184
26230828;249488;21568;-31360
26214516;247970;18756;-30448
26214712;248192;20992;-61312
26218499;251016;21792;-31862
26223690;250384;22531;-32759
26214416;250146;20752;-32704
26219609;248468;21289;-31743
26214432;250208;21312;-32191
26215520;249888;20484;-32767
26222895;251904;22624;-65399
26232182;251976;20759;-63404
26235452;251926;22537;-32607
26249221;249888;20480;-32748
26247244;251008;22530;-36589
26255376;249884;22264;-30710
26280027;250912;22596;-57216
26282274;250889;20822;-58111
26280296;250120;21008;-27894
26279984;249856;20736;-32688
26285176;251168;20544;-31104
26296320;249856;20800;-32248
26297350;249920;20501;-61176
26214478;249986;20527;-30830
26215700;246400;20484;-32747
26218844;249861;16560;-32589
26224164;252048;21056;-32768
26215016;251040;21062;-32511
26214450;247322;20512;-55548
26214522;250904;21636;-51550
26216512;251040;20754;-36080
26222856;252133;20688;-28665
26231104;250146;20580;-63332
26235927;249857;20864;-30062
26247262;251480;20497;-32256
26248228;249872;20485;-61312
26255469;249882;20564;-32750
26346548;248620;20677;-30952
26349688;252160;21520;-59374
26346819;249896;20484;-32639
26345994;251137;21728;-32478
26351184;250979;21504;-59904
26361881;251956;21256;-57844
26364000;247744;20994;-32612
26345504;250120;21010;-32609
26345583;250536;22528;-27440
26349878;250052;20640;-31997
26356092;250402;21778;-55295
26346564;249894;20688;-60296
26345484;250274;22546;-32764
26346576;251920;21512;-31424
26349594;250887;22635;-64252
26354786;249856;20484;-32759
26362152;250372;20994;-31719
26367344;249984;22029;-59999
26378808;250212;21797;-32252
26379904;251014;20617;-32480
26386502;249856;21017;-31590
26411022;249872;20480;-31210
26415188;250178;20544;-32768
26413340;250370;21344;-60636
26411360;250456;20994;-28638
26419243;250000;22533;-63870
26428530;250906;20737;-32000
26431544;250401;20481;-53949
26215425;247778;20608;-57060
26214472;249984;21156;-32700
26219776;250177;20740;-61679
26214743;252034;20482;-32240
26215966;251413;20544;-30688
26215012;250190;21889;-65472
26214445;250963;22704;-32087
26218612;249960;20554;-26048
26224696;249914;20804;-32730
26231043;249952;20492;-30696
26247498;249924;22674;-65532
26248208;250513;20736;-31680
26251352;250578;21520;-32512
26256416;251912;20482;-32463
26476640;250886;22544;-59387
26481710;251904;22560;-63199
26476662;250640;20776;-28459
26477884;249969;20512;-61328
26485252;250000;21504;-29374
26494540;251089;20554;-63198
26497040;250401;20512;-32754
26478682;249856;20872;-32255
26476578;249921;22432;-33703
26484840;250152;20613;-24568
26476848;245952;21024;-39421
26478960;251912;22536;-31460
26477631;250112;20562;-31927
26476550;252036;22793;-32702
26481740;247330;17224;-28576
26492949;250380;22860;-36286
26494044;250112;20481;-28670
26509600;249857;22784;-32752
26510699;249856;21060;-32704
26513970;250240;20482;-63591
26519160;252438;22784;-32216
26542145;250376;21824;-30592
26542088;250417;20770;-61096
26542144;251136;20488;-32112
26544407;247114;22658;-32767
26550622;250940;22822;-31716
26558500;250184;20634;-32630
26563692;251920;22529;-64688
26476596;251128;20775;-31232
26477688;249985;22787;-36568
26484802;251969;20932;-32510
26477834;246537;20576;-32504
26480976;252164;22608;-31661
26478104;250217;20769;-30342
26477152;252080;21062;-38624
26484768;251402;20548;-32562
26493038;246080;22864;-31736
26495030;247825;20483;-30640
26509436;246112;20496;-32760
26509636;16;22850;-62704
26514444;249954;21020;-32350
26607699;245780;16928;-65498
26608666;250896;20546;-28651
26607712;233988;23125;-62976
26608681;250130;18632;-32447
26611824;250888;16681;-32223
26617136;247808;18048;-32352
26624383;249918;18496;-64240
26629702;245889;17581;-64448
26607628;248034;16448;-32672
26609749;246788;17932;-32236
26615836;253096;21506;-32148
26607712;246866;18432;-64894
26612011;236072;21568;-39925
26610034;246816;16777;-24576
26608696;251137;18481;-38524
26615808;247936;22528;-28655
26625096;246316;21024;-28597
26628096;235728;22573;-31420
26641494;234406;16680;-57588
26640670;250497;22656;-32224
26645860;250914;16641;-28608
26673708;250016;21296;-49084
26674804;245824;17030;-33274
26673208;234512;20869;-27390
26673154;247809;22024;-65496
26677322;249856;20517;-28864
26683664;251012;16536;-31743
26689880;245760;20546;-31226
26214432;245838;23056;-40655
26215527;250441;22536;-57212
26218542;249872;17809;-28640
26223732;247312;18520;-65264
26214461;250946;20514;-29632
26219780;245825;20561;-56806
26214728;246042;20769;-65519
26215955;250949;20537;-32764
26223194;252996;22113;-32481
26230816;250027;17506;-32747
26234985;246024;18945;-32704
26249264;250012;21540;-57279
26247280;247984;22534;-36424
26255679;247367;16517;-31679
26739718;250881;16902;-61405
26742860;249858;23048;-30683
26739732;249856;22961;-31712
26738780;248070;22606;-64503
26743840;245825;16416;-64444
