epoch;x;y;z
6805;7060;2708;72340
6806;7061;2709;72341
6807;7062;2710;72342
6808;7063;2711;72343
6809;7064;2712;72344
6810;7065;2713;72345
6811;7066;2714;72346
6812;7067;2715;72347
6813;7068;2716;72348
6814;7069;2717;72349
6815;7070;2718;72350
6816;7071;2719;72351
6817;7072;2720;72352
6818;7073;2721;72353
6819;7074;2722;72354
6820;7075;2723;72355
6821;7076;2724;72356
6822;7077;2725;72357
6823;7078;2726;72358
6824;7079;2727;72359
6825;7080;2728;72360
6826;7081;2729;72361
6827;7082;2730;72362
6828;7083;2731;72363
6829;7084;2732;72364
6830;7085;2733;72365
6831;7086;2734;72366
6832;7087;2735;72367
6833;7088;2736;72368
6834;7089;2737;72369
6835;7090;2738;72370
6836;7091;2739;72371
6837;7092;2740;72372
6838;7093;2741;72373
6839;7094;2742;72374
6840;7095;2743;72375
6841;7096;2744;72376
6842;7097;2745;72377
6843;7098;2746;72378
6844;7099;2747;72379
6845;7100;10940;72380
6846;7101;10941;72381
6847;7102;10942;72382
6848;7103;10943;72383
6849;7104;10944;72384
6850;7105;10945;72385
6851;7106;10946;72386
6852;7107;10947;72387
6853;7108;10948;72388
6854;7109;10949;72389
6855;7110;10950;72390
6856;7111;10951;72391
6857;7112;10952;72392
6858;7113;10953;72393
6859;7114;10954;72394
6860;7115;10955;72395
6861;7116;10956;72396
6862;7117;10957;72397
6863;7118;10958;72398
6864;7119;10959;72399
6865;7120;10960;72400
6866;7121;10961;72401
6867;7122;10962;72402
6868;7123;10963;72403
6869;7124;10964;72404
6870;7125;10965;72405
6871;7126;10966;72406
6872;7127;10967;72407
6873;7128;10968;72408
6874;7129;10969;72409
6875;7130;10970;72410
6876;7131;10971;72411
6877;7132;10972;72412
6878;7133;10973;72413
6879;7134;10974;72414
6880;7135;10975;72415
6881;7136;10976;72416
6882;7137;10977;72417
6883;7138;10978;72418
6884;7139;10979;72419
6885;7140;10980;72420
6886;7141;10981;72421
6887;7142;10982;72422
6888;7143;10983;72423
6889;7144;10984;72424
6890;7145;10985;72425
6891;7146;10986;72426
6892;7147;10987;72427
6893;7148;10988;72428
6894;7149;10989;72429
6895;7150;10990;72430
6896;7151;10991;72431
6897;7152;10992;72432
6898;7153;10993;72433
6899;7154;10994;72434
6900;7155;10995;72435
6901;7156;10996;72436
6902;7157;10997;72437
6903;7158;10998;72438
6904;7159;10999;72439
6905;7160;11000;72440
6906;7161;11001;72441
6907;7162;11002;72442
6908;7163;11003;72443
6909;7164;11004;72444
6910;7165;11005;72445
6911;7166;11006;72446
6912;7167;11007;72447
6913;7168;11008;72448
6914;7169;11009;72449
6915;7170;11010;72450
6916;7171;11011;72451
6917;7172;11012;72452
6918;7173;11013;72453
6919;7174;11014;72454
6920;7175;11015;72455
6921;7176;11016;72456
6922;7177;11017;72457
6923;7178;11018;72458
6924;7179;11019;72459
6925;7180;11020;72460
6926;7181;11021;72461
6927;7182;11022;72462
6928;7183;11023;72463
6929;7184;11024;72464
6930;7185;11025;72465
6931;7186;11026;72466
6932;7187;11027;72467
6933;7188;11028;72468
6934;7189;11029;72469
6935;7190;11030;72470
6936;7191;11031;72471
6937;7192;11032;72472
6938;7193;11033;72473
6939;7194;11034;72474
6940;7195;11035;72475
6941;7196;11036;72476
6942;7197;11037;72477
6943;7198;11038;72478
6944;7199;11039;72479
6945;7200;11040;72480
6946;7201;11041;72481
6947;7202;11042;72482
6948;7203;11043;72483
6949;7204;11044;72484
6950;7205;11045;72485
6951;7206;11046;72486
6952;7207;11047;72487
6953;7208;11048;72488
6954;7209;11049;72489
6955;7210;11050;72490
6956;7211;11051;72491
6957;7212;11052;72492
6958;7213;11053;72493
6959;7214;11054;72494
6960;7215;11055;72495
6961;7216;11056;72496
6962;7217;11057;72497
6963;7218;11058;72498
6964;7219;11059;72499
6965;7220;11060;72500
6966;7221;11061;72501
6967;7222;11062;72502
6968;7223;11063;72503
6969;7224;11064;72504
6970;7225;11065;72505
6971;7226;11066;72506
6972;7227;11067;72507
6973;7228;11068;72508
6974;7229;11069;72509
6975;7230;11070;72510
6976;7231;11071;72511
6977;7232;11072;72512
6978;7233;11073;72513
6979;7234;11074;72514
6980;7235;11075;72515
6981;7236;11076;72516
6982;7237;11077;72517
6983;7238;11078;72518
6984;7239;11079;72519
6985;7240;11080;72520
6986;7241;11081;72521
6987;7242;11082;72522
6988;7243;11083;72523
6989;7244;11084;72524
6990;7245;11085;72525
6991;7246;11086;72526
6992;7247;11087;72527
6993;7248;11088;72528
6994;7249;11089;72529
6995;7250;11090;72530
6996;7251;11091;72531
6997;7252;11092;72532
6998;7253;11093;72533
6999;7254;11094;72534
7000;7255;11095;72535
7001;7256;11096;72536
7002;7257;11097;72537
7003;7258;11098;72538
7004;7259;11099;72539
7005;7260;11100;72540
7006;7261;11101;72541
7007;7262;11102;72542
7008;7263;11103;72543
7009;7264;11104;72544
7010;7265;11105;72545
