epoch;x;y;z
3540517130;245892;-32718;-3320
3540552144;245808;-29504;-2040
3540554770;254144;-32703;-2560
3540557984;245776;-28656;-4064
3540559105;246437;-30720;-4042
3540549891;253954;-29118;-3828
3540567489;255138;-32735;-4094
3540570131;245848;-32391;-3064
3540574361;246281;-30668;-4096
3540574467;253440;-28415;-1144
3540580608;253960;-32768;-2746
3540518080;253696;-29403;-3456
3540520964;246018;-30168;-1377
3540517896;245760;-31742;-1532
3540525312;254080;-32256;-3800
3540530721;246800;-32653;224
3540533899;253952;-32502;-2046
3540537344;254104;-32640;-4056
3540533250;245816;-32448;-3040
3540543696;246924;-32639;-3584
3540546594;245760;-30316;-2808
3540549768;254032;-28670;-7144
3540550656;246080;-32764;-3576
3540549636;246816;-32576;-510
3540559048;253572;-32249;-4045
3540562464;245792;-32757;-2972
3540551296;245808;-32622;-2984
3540566059;247380;-32256;-1919
3540572160;253960;-32188;-3645
3540574402;252418;-32704;-4089
3540578320;246278;-32734;-2958
3540583554;253985;-32748;-1984
3540516904;253952;-32760;-3920
3540521986;245820;-32704;-4076
3540525252;253968;-32255;-2456
3540526600;253953;-29680;-1964
3540517504;245872;-31999;-2752
3540535328;246092;-32720;-4005
3540537356;254096;-32576;-1787
3540541633;246017;-32731;-3840
3540542466;246220;-32256;-3054
3540517008;245932;-32184;-5120
3540550690;253892;-32230;-768
3540553736;254336;-31743;-1584
3540550850;246275;-32512;-3183
3540558336;245932;-32212;-3964
3540563592;253730;-32694;-1724
3540566048;254600;-32636;-2794
3540570112;253134;-28672;-1949
3540566188;247042;-32142;-2270
3540574209;245764;-32239;-4064
3540579458;253952;-32704;-3584
3540647952;252936;-28326;-3998
3540648962;245770;-31597;-1991
3540648104;253441;-31552;-2038
3540657666;248000;-32416;-4024
3540660864;246339;-32733;-2519
3540664328;246152;-29362;-2042
3540664320;246570;-31488;-1847
3540670624;246466;-31725;-4088
3540673548;254176;-32512;-3008
3540676736;246288;-32704;-1502
3540648963;247297;-31408;-3056
3540680784;246336;-31744;-3904
